total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
68135,0,63623,4512,0,0,,,
1643,0,1629,8,0,0,,,
1276,0,1254,22,0,0,,,
1269,0,1267,1,0,0,,,
1247,0,1125,7,0,0,,,
1019,0,1015,4,0,0,,,
991,0,985,6,0,0,,,
947,0,934,13,0,0,,,
932,0,931,1,0,0,,,
926,0,594,9,0,0,332.0,0.0,9.0
792,0,785,7,0,0,,,
715,0,681,7,0,0,,,
654,0,653,0,0,0,,,
595,0,581,3,0,0,,,
582,0,574,6,0,0,,,
449,0,438,7,0,0,,,
363,0,360,1,0,0,,,
349,0,336,6,0,0,,,
320,0,310,3,0,0,,,
254,0,252,2,0,0,,,
238,0,237,1,0,0,,,
198,0,198,0,0,0,,,
198,0,194,3,0,0,,,
186,0,183,2,0,0,,,
171,0,165,6,0,0,,,
164,0,154,2,0,0,,,
156,0,149,2,0,0,,,
155,0,153,2,0,0,,,
147,0,145,2,0,0,,,
76,0,73,3,0,0,,,
75,0,75,0,0,0,,,
46,0,45,0,0,0,,,
18,0,18,0,0,0,,,
1,0,1,0,0,0,,,
