,id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
0,420000,2020-05-21 09:12:45,湖北,0,,0,0,,0,0,68135,0,63616,4512,0,0
1,440000,2020-05-21 09:19:08,广东,1,0.0,0,0,0.0,1,1,1591,0,1579,8,0,1
2,410000,2020-05-21 13:07:58,河南,0,,0,0,,0,0,1276,0,1254,22,0,0
3,330000,2020-05-21 09:01:44,浙江,0,0.0,0,0,0.0,0,0,1268,0,1267,1,0,0
4,810000,2020-05-21 10:54:43,香港,0,0.0,1,0,0.0,-1,0,1055,0,1026,4,0,0
5,430000,2020-05-21 08:40:25,湖南,0,,0,0,,0,0,1019,0,1015,4,0,0
6,340000,2020-05-21 09:10:19,安徽,0,,0,0,,0,0,991,0,985,6,0,0
7,230000,2020-05-21 08:18:13,黑龙江,0,,0,0,,0,0,945,0,932,13,0,0
8,360000,2020-05-21 09:02:47,江西,0,,0,0,,0,0,937,0,936,1,0,0
9,370000,2020-05-21 08:38:06,山东,0,,0,0,,0,0,788,0,780,7,0,0
10,310000,2020-05-21 15:25:40,上海,1,,4,0,,-3,0,667,0,646,7,0,0
11,320000,2020-05-21 09:02:21,江苏,0,0.0,0,0,0.0,0,0,653,0,653,0,0,0
12,110000,2020-05-21 08:36:23,北京,0,,1,0,,-1,0,593,0,579,9,0,0
13,500000,2020-05-21 08:55:33,重庆,0,0.0,0,0,0.0,0,0,579,0,573,6,0,0
14,510000,2020-05-21 08:37:02,四川,0,,0,0,,0,0,561,0,558,3,0,0
15,700000,2020-05-21 09:13:44,台湾,0,0.0,1,0,0.0,-1,0,440,0,402,7,0,0
16,350000,2020-05-21 09:51:21,福建,0,0.0,0,0,0.0,0,0,356,0,355,1,0,0
17,130000,2020-05-21 08:51:03,河北,0,,0,0,,0,0,328,0,322,6,0,0
18,610000,2020-05-21 08:43:47,陕西,0,,0,0,,0,0,308,0,303,3,0,0
19,450000,2020-05-21 09:14:36,广西,0,0.0,0,0,0.0,0,0,254,0,252,2,0,0
20,150000,2020-05-21 11:14:21,内蒙古,0,,3,0,,-3,0,217,0,199,1,0,0
21,140000,2020-05-21 09:56:32,山西,0,,0,0,,0,0,198,0,198,0,0,0
22,120000,2020-05-21 09:51:55,天津,0,,0,0,,0,0,192,0,187,3,0,0
23,530000,2020-05-21 07:44:43,云南,0,,0,0,,0,0,185,0,183,2,0,0
24,460000,2020-05-21 09:52:57,海南,0,,0,0,,0,0,169,0,162,6,0,0
25,220000,2020-05-21 08:20:49,吉林,0,,0,0,,0,0,152,0,125,2,0,0
26,210000,2020-05-21 08:17:23,辽宁,0,,0,0,,0,0,149,0,144,2,0,0
27,520000,2020-05-21 08:37:28,贵州,0,,0,0,,0,0,147,0,145,2,0,0
28,620000,2020-05-21 07:45:03,甘肃,0,,0,0,,0,0,139,0,137,2,0,0
29,650000,2020-05-21 08:21:04,新疆,0,,0,0,,0,0,76,0,73,3,0,0
30,640000,2020-05-21 08:51:24,宁夏,0,,0,0,,0,0,75,0,75,0,0,0
31,820000,2020-05-21 09:56:51,澳门,0,,0,0,,0,0,45,0,45,0,0,0
32,630000,2020-05-21 09:49:53,青海,0,,0,0,,0,0,18,0,18,0,0,0
33,540000,2020-05-21 09:20:25,西藏,0,,0,0,,0,0,1,0,1,0,0,0
