id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
420000,2020-04-27 08:54:31,湖北,68128,0,63616,4512,0,0,0,,12,0,,,0
440000,2020-04-27 08:27:52,广东,1587,0,1542,8,0,0,1,,0,0,,,0
410000,2020-04-27 09:43:17,河南,1276,0,1254,22,0,0,0,,0,0,,,0
330000,2020-04-27 09:01:02,浙江,1268,0,1258,1,0,0,0,,1,0,,,0
810000,2020-04-27 08:39:10,香港,1037,0,772,4,0,0,0,0.0,19,0,0.0,,0
430000,2020-04-27 08:55:53,湖南,1019,0,1015,4,0,0,0,,0,0,,,0
340000,2020-04-27 08:13:13,安徽,991,0,985,6,0,0,0,,0,0,,,0
360000,2020-04-27 09:00:13,江西,937,0,936,1,0,0,0,,0,0,,,0
230000,2020-04-27 09:34:15,黑龙江,936,0,556,13,0,0,1,,45,0,,,0
370000,2020-04-27 08:44:53,山东,787,0,768,7,0,0,0,,1,0,,,0
320000,2020-04-27 08:55:19,江苏,653,0,646,0,0,0,0,,0,0,,,0
310000,2020-04-27 07:48:45,上海,642,0,568,7,0,0,0,,10,0,,,0
110000,2020-04-27 08:53:58,北京,593,0,525,9,0,0,0,,0,1,,,0
500000,2020-04-27 07:54:46,重庆,579,0,573,6,0,0,0,,0,0,,,0
510000,2020-04-27 08:43:41,四川,561,0,558,3,0,0,0,,0,0,,,0
700000,2020-04-27 08:47:53,台湾,429,0,281,6,0,0,0,0.0,6,0,0.0,,0
350000,2020-04-27 08:56:33,福建,355,0,349,1,0,0,0,,0,0,,,0
130000,2020-04-27 08:59:43,河北,328,0,318,6,0,0,0,,0,0,,,0
610000,2020-04-27 08:46:37,陕西,286,0,253,3,0,0,0,,0,0,,,0
450000,2020-04-27 08:48:42,广西,254,0,252,2,0,0,0,,0,0,,,0
150000,2020-04-27 08:49:33,内蒙古,198,0,129,1,0,0,0,,8,0,,,0
140000,2020-04-27 06:02:03,山西,197,0,157,0,0,0,0,,3,0,,,0
120000,2020-04-27 09:30:43,天津,190,0,182,3,0,0,0,,0,0,,,0
530000,2020-04-27 00:53:40,云南,185,0,181,2,0,0,0,,0,0,,,0
460000,2020-04-27 09:09:28,海南,168,0,162,6,0,0,0,,0,0,,,0
520000,2020-04-27 08:45:18,贵州,147,0,145,2,0,0,0,,0,0,,,0
210000,2020-04-27 08:11:42,辽宁,146,0,143,2,0,0,0,,0,0,,,0
620000,2020-04-27 07:02:07,甘肃,139,0,137,2,0,0,0,,0,0,,,0
220000,2020-04-27 07:47:56,吉林,110,0,99,1,0,0,1,,0,0,,,0
650000,2020-04-27 08:43:57,新疆,76,0,73,3,0,0,0,,0,0,,,0
640000,2020-04-27 08:47:30,宁夏,75,0,75,0,0,0,0,,0,0,,,0
820000,2020-04-27 08:48:00,澳门,45,0,31,0,0,0,0,0.0,3,0,0.0,,0
630000,2020-04-27 09:08:45,青海,18,0,18,0,0,0,0,,0,0,,,0
540000,2020-04-27 09:41:03,西藏,1,0,1,0,0,0,0,,0,0,,,0
